Trial,Bowl 1,Rank,Magnitude estimation,Bowl 2,Rank,Magnitude estimation,Bowl 3,Rank,Magnitude estimation,Bowl 4,Rank,Magnitude estimation
Trials 1,4,4,25,2,3,30,3,2,40,1,1,60
Trials 2,4,4,20,1,2,60,3,1,70,2,3,30
Trials 3,3,3,45,4,2,50,1,4,20,2,1,60
Trials 4,4,2,50,2,1,70,1,4,20,3,3,45
Trials 5,4,2,60,2,1,70,1,4,15,3,3,20
Trials 6,2,2,55,4,1,60,1,4,10,3,3,20
Trials 7,12,1,50,11,2,40,9,4,10,10,3,20
Trials 8,11,2,40,9,4,10,10,3,20,12,1,60
Trials 9,11,1,70,12,2,60,9,4,20,10,3,30
Trials 10,9,4,15,12,1,50,10,3,20,11,2,30
Trials 11,12,1,80,11,2,60,9,4,10,10,3,20
Trials 12,11,2,60,12,1,80,10,3,20,9,4,10
Trials 13,6,1,50,5,3,30,8,2,40,7,4,10
Trials 14,5,1,15,6,2,30,7,1,50,8,3,25
Trials 15,6,1,70,5,4,20,7,3,30,8,2,60
Trials 16,5,4,15,6,1,70,7,3,30,8,2,60
Trials 17,5,3,45,8,1,70,7,4,15,6,2,60
Trials 18,7,4,20,5,3,45,6,1,70,8,2,50
,,,,,,,,,,,,
,,,,,,,,,,,,
,woman ,,,,,,,,,,,
