Trial,Bowl 1,Rank,Magnitude estimation,Bowl 2,Rank,Magnitude estimation,Bowl 3,Rank,Magnitude estimation,Bowl 4,Rank,Magnitude estimation
Trials 1,11,2,25,12,1,35,9,3,10,10,4,5
Trials 2,11,2,25,12,1,32,10,3,15,9,4,5
Trials 3,10,3,20,11,2,30,9,4,5,12,1,45
Trials 4,12,2,30,10,3,20,11,1,33,9,4,5
Trials 5,10,3,15,12,1,47,11,2,25,9,4,5
Trials 6,10,3,10,12,2,28,11,1,30,9,4,3
Trials 7,4,3,20,3,2,20,1,1,31,2,4,20
Trials 8,3,2,22,4,3,20,2,4,20,1,1,31
Trials 9,4,3,15,3,2,16,2,4,12,1,1,33
Trials 10,3,2,15,2,4,15,4,3,15,1,1,33
Trials 11,2,4,15,4,3,15,3,2,20,1,1,34
Trials 12,3,2,25,2,3,15,4,4,15,1,1,33
Trials 13,8,2,25,6,1,40,7,4,5,5,3,10
Trials 14,6,1,40,8,2,35,5,4,5,7,3,5
Trials 15,7,4,5,5,3,10,6,1,40,8,2,35
Trials 16,7,4,2,8,1,40,5,3,5,6,2,30
Trials 17,5,3,5,7,4,2,6,2,35,8,1,40
Trials 18,5,3,5,8,2,40,6,1,45,7,4,2
