Trial,Bowl 1,Rank,Magnitude estimation,Bowl 2,Rank,Magnitude estimation,Bowl 3,Rank,Magnitude estimation,Bowl 4,Rank,Magnitude estimation
Trials 1,8,1,80,5,3,40,6,2,70,7,4,30
Trials 2,6,2,75,7,3,40,5,4,15,8,1,85
Trials 3,7,3,40,6,1,70,5,4,15,8,2,60
Trials 4,5,4,20,6,1,85,7,3,45,8,2,60
Trials 5,8,3,25,5,4,10,7,2,65,6,1,70
Trials 6,7,3,40,8,2,75,6,1,90,5,4,10
Trials 7,2,1,50,1,4,15,3,3,20,4,2,40
Trials 8,3,3,45,2,2,50,1,4,15,4,1,60
Trials 9,4,3,40,2,1,55,1,4,10,3,2,45
Trials 10,3,3,35,1,4,15,2,1,60,4,2,50
Trials 11,4,2,50,3,3,40,1,4,20,2,1,60
Trials 12,1,4,25,4,2,55,2,1,65,3,3,45
Trials 13,12,1,65,11,3,40,9,4,20,10,2,55
Trials 14,9,4,30,11,2,60,10,3,40,12,1,70
Trials 15,9,4,30,12,1,85,10,3,55,11,2,65
Trials 16,11,2,55,9,4,30,10,3,45,12,1,60
Trials 17,11,2,65,12,1,75,9,4,35,10,3,50
Trials 18,10,3,50,11,2,70,9,4,40,12,1,80
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"6 - ""like  real water""",,,,,,,,,,
,man ,,,,,,,,,,,
