Trial,Bowl 1,Rank,Magnitude estimation,Bowl 2,Rank,Magnitude estimation,Bowl 3,Rank,Magnitude estimation,Bowl 4,Rank,Magnitude estimation
Trials 1,7,4,2,5,3,7,6,1,15,8,2,10
Trials 2,6,1,18,5,4,3,7,3,7,8,2,15
Trials 3,5,3,3,6,2,10,7,4,2,8,1,15
Trials 4,7,4,2,5,3,5,8,2,10,6,1,17
Trials 5,6,1,17,5,3,5,8,2,12,7,4,2
Trials 6,7,4,2,5,3,7,8,2,12,6,1,15
Trials 7,12,1,25,10,2,20,11,3,15,9,4,5
Trials 8,11,2,19,9,4,5,12,1,20,10,3,14
Trials 9,10,2,17,11,3,15,9,4,5,12,1,25
Trials 10,9,4,5,12,1,27,10,3,10,11,2,15
Trials 11,11,3,9,9,4,4,10,2,12,12,1,27
Trials 12,11,3,15,10,2,17,9,4,4,12,1,27
Trials 13,2,4,19,1,1,20,4,3,14,3,2,15
Trials 14,3,1,22,4,3,10,2,4,7,1,2,20
Trials 15,4,1,19,3,3,10,2,4,7,1,2,14
Trials 16,2,3,10,1,1,25,4,4,9,3,3,15
Trials 17,1,2,19,3,1,20,4,3,9,2,4,5
Trials 18,1,2,18,4,4,9,2,3,15,3,1,22
