Trial,Bowl 1,Rank,Magnitude estimation,Bowl 2,Rank,Magnitude estimation,Bowl 3,Rank,Magnitude estimation,Bowl 4,Rank,Magnitude estimation
Trials 1,8,X,X,5,X,X,6,X,X,7,X,X
Trials 2,6,X,X,7,X,X,5,X,X,8,X,X
Trials 3,7,X,X,6,X,X,5,X,X,8,X,X
Trials 4,5,X,X,6,X,X,7,X,X,8,X,X
Trials 5,8,X,X,5,X,X,7,X,X,6,X,X
Trials 6,7,X,X,8,X,X,6,X,X,5,X,X
Trials 7,2,X,X,1,X,X,3,X,X,4,X,X
Trials 8,3,X,X,2,X,X,1,X,X,4,X,X
Trials 9,4,X,X,2,X,X,1,X,X,3,X,X
Trials 10,3,X,X,1,X,X,2,X,X,4,X,X
Trials 11,4,X,X,3,X,X,1,X,X,2,X,X
Trials 12,1,X,X,4,X,X,2,X,X,3,X,X
Trials 13,12,X,X,11,X,X,9,X,X,10,X,X
Trials 14,9,X,X,11,X,X,10,X,X,12,X,X
Trials 15,9,X,X,12,X,X,10,X,X,11,X,X
Trials 16,11,X,X,9,X,X,10,X,X,12,X,X
Trials 17,11,X,X,12,X,X,9,X,X,10,X,X
Trials 18,10,X,X,11,X,X,9,X,X,12,X,X
